text,intent
Apakah booking [KR-XYZ789](pnr) masih valid?,check_reservation
Cek pemesanan atas nama [Budi](name),check_reservation
Status booking saya,check_reservation
Lihat pesanan dengan nomor [KIR5678](pnr),check_reservation
Cek kode [KR-123456](pnr),check_reservation
Cari reservasi [KR-DEF456](pnr),check_reservation
Cek [KR-0A3CC9](pnr),check_reservation
Cari pesanan [KR-123456](pnr),check_reservation
Status [KR-ABCDEF](pnr),check_reservation
cari pesanan KR-0A3CC9,check_reservation
cek pesanan KIR0001,check_reservation
Terima kasih,thank_you
Makasih,thank_you
Thanks,thank_you
Thank you,thank_you
Terima kasih banyak,thank_you
Makasih ya,thank_you
Syukron,thank_you
Terimakasih atas bantuannya,thank_you
Makasih banyak,thank_you
Thank you so much,thank_you
Thx,thank_you
Makasih bro,thank_you
konfirmasi,confirm_booking
ya,confirm_booking
setuju,confirm_booking
ok,confirm_booking
oke,confirm_booking
lanjut,confirm_booking
lanjutkan,confirm_booking
iya,confirm_booking
betul,confirm_booking
bener,confirm_booking
batal,cancel_booking
cancel,cancel_booking
tidak,cancel_booking
no,cancel_booking
ga jadi,cancel_booking
nggak jadi,cancel_booking
batalkan,cancel_booking
gak mau,cancel_booking
stop,cancel_booking
nggak lanjut,cancel_booking
batalkan pesanan,cancel_booking
selesai,next_action
buatkan reservasi lagi,next_action
reservasi baru,next_action
cari pesanan,next_action
cek pesanan,next_action
ulang,next_action
pesan lagi,next_action
booking baru,next_action
pesen ulang,next_action
ulang dari awal,restart
reset,restart
mulai ulang,restart
ulang semua,restart
restart,restart
mulai dari awal,restart
ulangi dari pertama,restart
reset pesanan,restart
batalin dan mulai lagi,restart
ulang reservasi,restart
